 FECHA         DNI           CODIGO          CANT
20230821       32565207       ZWF-661        6
20230821       77191257       BWD-036        5
20230821       95161027       TZY-323        5
20230821       15561764       RAH-420        4
20230821       58187172       VXS-438        2
20230821       44229880       HLR-109        5
20230821       40112594       EBI-299        3
20230821       32904023       SAM-013        3
20230821       50365593       TZY-323        1
20230821       81114108       DUG-251        5
20230821       17913944       YJD-279        5
20230821       11602775       TMJ-043        6
20230821       38913831       JFC-432        3
20230821       43043986       TXM-139        3
20230821       85949265       YUQ-590        2
20230821       25171011       VCL-867        1
20230821       49087435       XZR-640        6
20230821       17972674       UTN-601        1
20230821       15210391       HFM-021        1
20230821       71984468       JJN-837        5
20230821       91897732       WLL-607        1
20230821       79140840       TMN-884        5
20230821       49087435       PJG-338        1
20230821       69639726       OPT-996        3
20230821       90365520       OPJ-039        1
20230821       26233063       ZAF-449        2
20230821       71463316       QFP-254        6
20230821       85949265       TMJ-043        6
20230821       55552996       FQG-293        1
20230821       37110873       UWA-476        2
20230821       40348917       FLJ-040        2
20230821       90237332       PVZ-181        5
20230821       81114108       VRR-793        4
20230821       17913944       IHG-413        4
20230821       89429489       VXS-438        1
20230821       49087435       SJQ-827        1
20230821       45783712       QFR-958        3
20230821       90365520       KWP-672        6
20230821       40348917       WZD-331        3
20230821       98140264       QHC-492        4
20230821       83505958       EJW-346        3
20230821       45877001       VVS-017        4
20230821       62566305       TYF-885        4
20230821       49087435       VDD-853        2
20230821       29337157       ZEX-027        3
20230821       11602775       CIM-038        4
20230821       57690875       CSZ-863        5
20230822       80048864       BWD-036        3
20230822       94080926       OTW-288        5
20230822       20864087       SPR-580        1
20230822       27912250       LWG-915        1
20230822       93845419       NSR-955        2
20230822       84165595       QHC-492        4
20230822       52097922       MMA-577        2
20230822       77191257       AVM-258        6
20230822       26290971       TZY-323        5
20230822       32821689       ISU-815        1
20230822       64394265       YYK-309        6
20230822       36008913       HFC-845        6
20230822       86241107       HFC-845        3
20230822       66409237       ICX-503        5
20230822       87800799       QRC-609        1
20230822       38913831       YZD-580        1
20230822       78078115       TMJ-043        3
20230822       35584593       KCO-488        1
20230822       77484838       YUQ-590        6
20230822       78078115       DFF-034        2
20230822       89298238       QTK-083        3
20230822       73535476       CIM-038        3
20230822       16151792       WZD-331        3
20230822       37110873       GXF-122        2
20230822       76388967       RSE-049        6
20230822       78757121       ZXK-295        4
20230822       15561764       JYQ-045        6
20230822       27912250       LWG-915        4
20230822       95161027       VJI-529        2
20230822       25171011       OPT-996        6
20230822       77484838       BTO-226        4
20230822       78078115       XZR-640        5
20230822       15210391       RSE-049        5
20230822       43488351       XLF-273        5
20230822       71984468       PQH-935        2
20230822       78757121       OQI-373        3
20230823       12663268       QFP-254        5
20230823       77642521       YYU-726        2
20230823       64394265       OTW-288        5
20230823       79372768       SAM-013        1
20230823       78078115       PJG-338        2
20230823       87813843       LDR-510        6
20230823       78922174       XBD-314        2
20230823       73185299       QFP-254        5
20230823       23928045       LWG-915        2
20230823       81114108       OFS-384        3
20230823       83236386       OFS-384        1
20230823       50365593       ZVA-180        6
